model_key,model,distribution,parameter,coef,std_err,z_stat,p_value
GARCH | normal,GARCH,normal,mu,-0.0001800139920271061,,,
GARCH | normal,GARCH,normal,phi,0.0017222668213848222,,,
GARCH | normal,GARCH,normal,theta,-0.03864579820832558,,,
GARCH | normal,GARCH,normal,omega,1.040345806739377e-07,,,
GARCH | normal,GARCH,normal,alpha,0.0216199903219656,,,
GARCH | normal,GARCH,normal,beta,0.975658907142822,,,
GARCH | t,GARCH,t,mu,-0.00013134504942388414,,,
GARCH | t,GARCH,t,phi,0.00212913605605127,,,
GARCH | t,GARCH,t,theta,-0.0382223096335956,,,
GARCH | t,GARCH,t,omega,6.305360818498688e-08,,,
GARCH | t,GARCH,t,alpha,0.021611089479227925,,,
GARCH | t,GARCH,t,beta,0.975257233022865,,,
GARCH | t,GARCH,t,nu,7.998936322771957,,,
GARCH | skewt,GARCH,skewt,mu,8.214887409504026e-06,,,
GARCH | skewt,GARCH,skewt,phi,0.003295714637980291,,,
GARCH | skewt,GARCH,skewt,theta,-0.0370080799512071,,,
GARCH | skewt,GARCH,skewt,omega,4.020728215259337e-08,,,
GARCH | skewt,GARCH,skewt,alpha,0.022765291210272157,,,
GARCH | skewt,GARCH,skewt,beta,0.9752852721047326,,,
GARCH | skewt,GARCH,skewt,nu,7.99660386986467,,,
GARCH | skewt,GARCH,skewt,skew,1.0489962330440996,,,
GARCH-M | normal,GARCH-M,normal,mu,-0.0005787530795900281,,,
GARCH-M | normal,GARCH-M,normal,phi,-0.5052803773739173,,,
GARCH-M | normal,GARCH-M,normal,theta,0.50401144442667,,,
GARCH-M | normal,GARCH-M,normal,lambda_m,0.10549426813881974,,,
GARCH-M | normal,GARCH-M,normal,omega,1.095261779886415e-06,,,
GARCH-M | normal,GARCH-M,normal,alpha,0.07464550046372373,,,
GARCH-M | normal,GARCH-M,normal,beta,0.899582273901022,,,
GARCH-M | t,GARCH-M,t,mu,-0.0005065723571601293,,,
GARCH-M | t,GARCH-M,t,phi,-0.5055753464405276,,,
GARCH-M | t,GARCH-M,t,theta,0.5031022855529292,,,
GARCH-M | t,GARCH-M,t,lambda_m,0.11151542518599977,,,
GARCH-M | t,GARCH-M,t,omega,8.725901522690496e-07,,,
GARCH-M | t,GARCH-M,t,alpha,0.07460007594790789,,,
GARCH-M | t,GARCH-M,t,beta,0.8990348461890625,,,
GARCH-M | t,GARCH-M,t,nu,7.998251998349697,,,
GARCH-M | skewt,GARCH-M,skewt,mu,-0.0004264140847005373,,,
GARCH-M | skewt,GARCH-M,skewt,phi,-0.5059028757934448,,,
GARCH-M | skewt,GARCH-M,skewt,theta,0.5020927690144159,,,
GARCH-M | skewt,GARCH-M,skewt,lambda_m,0.11820122801512306,,,
GARCH-M | skewt,GARCH-M,skewt,omega,8.737266411189157e-07,,,
GARCH-M | skewt,GARCH-M,skewt,alpha,0.07522508133288072,,,
GARCH-M | skewt,GARCH-M,skewt,beta,0.8991024352906363,,,
GARCH-M | skewt,GARCH-M,skewt,nu,7.996657679078327,,,
GARCH-M | skewt,GARCH-M,skewt,skew,1.0494252975786647,,,
EGARCH | normal,EGARCH,normal,mu,-0.00022988474345675026,0.00011999942839611074,-1.9157153207256525,0.05540134123807472
EGARCH | normal,EGARCH,normal,phi,-0.2917434464598363,0.49421140154782095,-0.590321157193308,0.554975357647707
EGARCH | normal,EGARCH,normal,theta,0.25176401064107007,0.5000110162192729,0.5035169275763766,0.6146008820709616
EGARCH | normal,EGARCH,normal,omega,-0.034544841605177,0.01597572238845748,-2.1623336187999724,0.030592470176785014
EGARCH | normal,EGARCH,normal,alpha,0.03853493591546857,0.00903722930791573,4.2640210403553365,2.0078052544558744e-05
EGARCH | normal,EGARCH,normal,gamma,-0.023176293160410553,0.00556328873405552,-4.165933904982769,3.100805378730698e-05
EGARCH | normal,EGARCH,normal,beta,0.9964478599993906,0.0015607149251218263,638.456033168011,0.0
EGARCH | t,EGARCH,t,mu,-9.50775732720138e-05,,,
EGARCH | t,EGARCH,t,phi,-0.5260257573205965,,,
EGARCH | t,EGARCH,t,theta,0.4948552141646996,,,
EGARCH | t,EGARCH,t,omega,-0.007750791095357108,,,
EGARCH | t,EGARCH,t,alpha,0.050650233385742524,,,
EGARCH | t,EGARCH,t,gamma,-0.019635771461625092,,,
EGARCH | t,EGARCH,t,beta,0.99899999999683,,,
EGARCH | t,EGARCH,t,nu,5.332749258112955,,,
EGARCH | skewt,EGARCH,skewt,mu,-0.00026839047803804445,,,
EGARCH | skewt,EGARCH,skewt,phi,-0.5040472797749748,,,
EGARCH | skewt,EGARCH,skewt,theta,0.47337046730693777,,,
EGARCH | skewt,EGARCH,skewt,omega,-0.007095629757849738,,,
EGARCH | skewt,EGARCH,skewt,alpha,0.05001253302404991,,,
EGARCH | skewt,EGARCH,skewt,gamma,-0.020282032094418607,,,
EGARCH | skewt,EGARCH,skewt,beta,0.9989999999999997,,,
EGARCH | skewt,EGARCH,skewt,nu,5.29012616862434,,,
EGARCH | skewt,EGARCH,skewt,skew,0.8906329892337258,,,
GJR-GARCH | normal,GJR-GARCH,normal,mu,-0.00021222865491137628,,,
GJR-GARCH | normal,GJR-GARCH,normal,phi,-0.4385651348827254,,,
GJR-GARCH | normal,GJR-GARCH,normal,theta,0.3998039315838239,,,
GJR-GARCH | normal,GJR-GARCH,normal,omega,4.2027863749326675e-08,,,
GJR-GARCH | normal,GJR-GARCH,normal,alpha,0.005260872242119146,,,
GJR-GARCH | normal,GJR-GARCH,normal,gamma,0.018478369635601472,,,
GJR-GARCH | normal,GJR-GARCH,normal,beta,0.9840391988503892,,,
GJR-GARCH | t,GJR-GARCH,t,mu,-0.0001366682711630848,,,
