Model,Distribution,Success,Optimizer,Message,LogLik,AIC,BIC,AIC_per_obs,BIC_per_obs
EGARCH,skewt,True,SLSQP,Optimization terminated successfully,6920.194020510898,-13822.388041021795,-13772.804023627647,-7.573911255354409,-7.546741930754875
EGARCH,t,True,SLSQP,Optimization terminated successfully,6913.284628766531,-13810.569257533061,-13766.49457540493,-7.567435209607157,-7.543284698852016
GJR-GARCH,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6905.832772529919,-13795.665545059837,-13751.590862931705,-7.55926879181361,-7.535118281058469
GARCH,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6901.603228858727,-13789.206457717453,-13750.641110855337,-7.555729565872577,-7.5345978689618285
GJR-GARCH,skewt,True,SLSQP,Optimization terminated successfully,6898.596092171132,-13779.192184342264,-13729.608166948115,-7.550242292790282,-7.523072968190748
GARCH,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6895.053064053132,-13774.106128106265,-13730.031445978133,-7.547455412660967,-7.523304901905826
APARCH,t,False,L-BFGS-B,ABNORMAL: ,6894.461004506343,-13770.922009012686,-13721.337991618537,-7.545710689869964,-7.518541365270431
APARCH,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6892.160062842331,-13764.320125684662,-13709.226773024497,-7.54209321955324,-7.5119050811093135
GARCH-M,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6879.6290494984205,-13743.258098996841,-13699.18341686871,-7.530552383011968,-7.506401872256827
GARCH-M,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6873.3424969302505,-13728.684993860501,-13679.100976466352,-7.522567119923562,-7.4953977953240285
EGARCH,normal,True,SLSQP,Optimization terminated successfully,6850.784043984982,-13687.568087969965,-13649.002741107848,-7.500037308476693,-7.478905611565944
GJR-GARCH,normal,True,Powell,Optimization terminated successfully.,6845.591201102668,-13677.182402205335,-13638.617055343218,-7.494346521756348,-7.473214824845599
GARCH,normal,True,Powell,Optimization terminated successfully.,6841.184720311804,-13670.369440623608,-13637.313429027508,-7.490613392122525,-7.472500509056169
APARCH,normal,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6827.981421038582,-13639.962842077164,-13595.88815994903,-7.473952242234063,-7.449801731478921
GARCH-M,normal,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6815.2209316615845,-13616.441863323169,-13577.876516461052,-7.4610640346976265,-7.439932337786878
