p,q,AIC,BIC,LogLik,converged
0,0,-6550.46592028289,-6540.676580204023,3277.232960141445,True
0,1,-6550.43129097398,-6535.7472808556795,3278.21564548699,True
1,0,-6550.1942197381195,-6535.510209619819,3278.0971098690598,True
0,2,-6552.360472029473,-6532.781791871739,3280.1802360147367,True
2,0,-6551.8787383621275,-6532.300058204393,3279.9393691810637,True
1,1,-6551.388519649657,-6531.8098394919225,3279.6942598248284,True
2,1,-6551.331772549729,-6526.858422352561,3280.6658862748645,True
1,2,-6551.131937310344,-6526.6585871131765,3280.565968655172,True
3,0,-6551.068709955934,-6526.595359758766,3280.534354977967,True
0,3,-6550.644717586758,-6526.17136738959,3280.322358793379,True
3,1,-6549.096206463279,-6519.728186226677,3280.5481032316393,True
2,2,-6548.9044577951845,-6519.536437558583,3280.4522288975922,True
1,3,-6548.650226884181,-6519.28220664758,3280.3251134420907,True
2,3,-6547.252889314066,-6512.990199038032,3280.626444657033,True
3,2,-6546.990489781325,-6512.727799505291,3280.4952448906624,True
3,3,-6545.219616615503,-6506.062256300035,3280.6098083077513,True
