model_key,model,distribution,parameter,coef,std_err,z_stat,p_value
GARCH | normal,GARCH,normal,mu,-0.00047845940101142685,,,
GARCH | normal,GARCH,normal,phi,-0.6665615402430968,,,
GARCH | normal,GARCH,normal,theta,0.669141073139679,,,
GARCH | normal,GARCH,normal,omega,4.024040764685975e-06,,,
GARCH | normal,GARCH,normal,alpha,0.14161503180060422,,,
GARCH | normal,GARCH,normal,beta,0.8045729858864573,,,
GARCH | t,GARCH,t,mu,-0.00018227851077376252,,,
GARCH | t,GARCH,t,phi,-0.30734617808792347,,,
GARCH | t,GARCH,t,theta,0.3483670785248345,,,
GARCH | t,GARCH,t,omega,7.824290667017512e-07,,,
GARCH | t,GARCH,t,alpha,0.05819365408275141,,,
GARCH | t,GARCH,t,beta,0.9280662208093299,,,
GARCH | t,GARCH,t,nu,4.724683181501845,,,
GARCH | skewt,GARCH,skewt,mu,-9.231913910530649e-05,,,
GARCH | skewt,GARCH,skewt,phi,-0.3077334719979776,,,
GARCH | skewt,GARCH,skewt,theta,0.347607775050237,,,
GARCH | skewt,GARCH,skewt,omega,7.652484250642127e-07,,,
GARCH | skewt,GARCH,skewt,alpha,0.05870053050518218,,,
GARCH | skewt,GARCH,skewt,beta,0.9280795874367341,,,
GARCH | skewt,GARCH,skewt,nu,4.724737439534105,,,
GARCH | skewt,GARCH,skewt,skew,1.0495177646222007,,,
GARCH-M | normal,GARCH-M,normal,mu,0.0006282385086005294,,,
GARCH-M | normal,GARCH-M,normal,phi,0.7886250447862976,,,
GARCH-M | normal,GARCH-M,normal,theta,-0.8239189481531233,,,
GARCH-M | normal,GARCH-M,normal,lambda_m,-0.03166099102994451,,,
GARCH-M | normal,GARCH-M,normal,omega,1.9622034051529297e-06,,,
GARCH-M | normal,GARCH-M,normal,alpha,0.07928652523779464,,,
GARCH-M | normal,GARCH-M,normal,beta,0.8925836410902437,,,
GARCH-M | t,GARCH-M,t,mu,0.0006565494181535747,,,
GARCH-M | t,GARCH-M,t,phi,0.788657745197517,,,
GARCH-M | t,GARCH-M,t,theta,-0.8236243941585853,,,
GARCH-M | t,GARCH-M,t,lambda_m,-0.030031995854039928,,,
GARCH-M | t,GARCH-M,t,omega,1.2535358493052362e-06,,,
GARCH-M | t,GARCH-M,t,alpha,0.07927365002160917,,,
GARCH-M | t,GARCH-M,t,beta,0.8924386982500996,,,
GARCH-M | t,GARCH-M,t,nu,7.999535336867455,,,
GARCH-M | skewt,GARCH-M,skewt,mu,0.0006781681619570151,,,
GARCH-M | skewt,GARCH-M,skewt,phi,0.7886827153344306,,,
GARCH-M | skewt,GARCH-M,skewt,theta,-0.8233994716860207,,,
GARCH-M | skewt,GARCH-M,skewt,lambda_m,-0.0287880892804939,,,
GARCH-M | skewt,GARCH-M,skewt,omega,1.257770829230678e-06,,,
GARCH-M | skewt,GARCH-M,skewt,alpha,0.07926381861111333,,,
GARCH-M | skewt,GARCH-M,skewt,beta,0.8923280195983423,,,
GARCH-M | skewt,GARCH-M,skewt,nu,7.999255991693909,,,
GARCH-M | skewt,GARCH-M,skewt,skew,1.0498945845249263,,,
EGARCH | normal,EGARCH,normal,mu,-4.191131417983163e-05,0.00021832389076124694,-0.1919685199530669,0.8477668642188316
EGARCH | normal,EGARCH,normal,phi,-0.042813036005495485,0.4147238948780194,-0.10323262424531353,0.9177783478213144
EGARCH | normal,EGARCH,normal,theta,0.09083125986597519,0.41246719238691065,0.2202145080687335,0.8257040981502006
