Model,Distribution,Success,Optimizer,Message,LogLik,AIC,BIC,AIC_per_obs,BIC_per_obs
APARCH,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3505.166168078814,-6992.332336157628,-6948.280305802727,-7.084429925185033,-7.039797675585336
APARCH,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3505.892333666151,-6991.784667332302,-6942.837966937967,-7.08387504288987,-7.034283654445762
EGARCH,t,True,SLSQP,Optimization terminated successfully,3503.791895589147,-6991.583791178294,-6952.426430862826,-7.083671520950652,-7.043998410195366
EGARCH,skewt,True,SLSQP,Optimization terminated successfully,3504.3196539248347,-6990.639307849669,-6946.587277494768,-7.082714597618713,-7.0380823480190156
GARCH,t,True,Powell,Optimization terminated successfully.,3499.3179503244673,-6984.635900648935,-6950.373210372901,-7.076632118185344,-7.041918146274469
GARCH,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3499.3688844761054,-6982.737768952211,-6943.580408636743,-7.0747089857671845,-7.035035875011898
GARCH-M,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3492.213441060988,-6968.426882121976,-6929.269521806508,-7.060209607013147,-7.0205364962578605
GARCH-M,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3492.861797173512,-6967.723594347024,-6923.671563992123,-7.059497056076013,-7.014864806476315
GJR-GARCH,t,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3490.2349142546664,-6964.469828509333,-6925.312468193865,-7.056200434153326,-7.01652732339804
GJR-GARCH,skewt,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3490.6610136309982,-6963.3220272619965,-6919.269996907095,-7.05503751495643,-7.010405265356733
EGARCH,normal,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3445.5968209052426,-6877.193641810485,-6842.930951534451,-6.967774713080532,-6.9330607411696565
APARCH,normal,True,Powell,Optimization terminated successfully.,3437.509262516361,-6859.018525032722,-6819.861164717255,-6.949360207733254,-6.909687096977969
GJR-GARCH,normal,False,L-BFGS-B,ABNORMAL: ,3425.1438724206946,-6836.287744841389,-6802.025054565355,-6.9263300353002935,-6.891616063389418
GARCH,normal,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3414.4655076692006,-6816.931015338401,-6787.5629951018,-6.906718353939616,-6.876963520873151
GARCH-M,normal,True,L-BFGS-B,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3413.399489294793,-6812.798978589586,-6778.536288313552,-6.902531893201202,-6.867817921290326
